gene_symbol,ensembl_id,pair_02_normocaf_normoxia_rep1,pair_02_normocaf_normoxia_rep2,pair_02_normocaf_normoxia_rep3,pair_02_normocaf_hypoxia_rep1,pair_02_normocaf_hypoxia_rep2,pair_02_normocaf_hypoxia_rep3,pair_02_hypocaf_normoxia_rep1,pair_02_hypocaf_normoxia_rep2,pair_02_hypocaf_normoxia_rep3,pair_02_hypocaf_hypoxia_rep1,pair_02_hypocaf_hypoxia_rep2,pair_02_hypocaf_hypoxia_rep3,pair_08_normocaf_normoxia_rep1,pair_08_normocaf_normoxia_rep2,pair_08_normocaf_normoxia_rep3,pair_08_normocaf_hypoxia_rep1,pair_08_normocaf_hypoxia_rep2,pair_08_normocaf_hypoxia_rep3,pair_08_hypocaf_normoxia_rep1,pair_08_hypocaf_normoxia_rep2,pair_08_hypocaf_normoxia_rep3,pair_08_hypocaf_hypoxia_rep1,pair_08_hypocaf_hypoxia_rep2,pair_08_hypocaf_hypoxia_rep3,pair_09_normocaf_normoxia_rep1,pair_09_normocaf_normoxia_rep2,pair_09_normocaf_normoxia_rep3,pair_09_normocaf_hypoxia_rep1,pair_09_normocaf_hypoxia_rep2,pair_09_normocaf_hypoxia_rep3,pair_09_hypocaf_normoxia_rep1,pair_09_hypocaf_normoxia_rep2,pair_09_hypocaf_normoxia_rep3,pair_09_hypocaf_hypoxia_rep1,pair_09_hypocaf_hypoxia_rep2,pair_09_hypocaf_hypoxia_rep3
PLXNB2,ENSG00000196576,379.7681435,398.4369446,433.0029774,419.3620541,413.4163478,408.0413369,201.0351169,201.8553691,200.8529204,193.1341016,203.1897427,147.9225709,273.0235336,264.0932767,237.8947749,234.0916082,277.6729636,280.1333731,209.8073692,212.708037,293.5930745,210.0318717,218.715515,210.9313705,293.4808527,292.1621391,324.8111642,373.762503,336.5874804,347.6354335,230.7897134,238.5249766,258.6651186,289.4557924,286.8034103,297.5499021
DENND6B,ENSG00000205593,3.361375506,3.10082133,3.39233798,4.064389415,4.078209364,4.478805866,2.290725318,1.974380861,1.475270573,2.194864564,2.023500151,2.156050818,2.788702104,1.45419737,2.08415907,2.835608212,3.369774726,2.798532652,2.139506782,2.145283068,2.704782997,3.439118366,3.647563433,2.870756361,2.232785656,1.812342841,2.213710563,4.76909681,4.303437581,3.76517806,2.472606803,2.384765702,2.461851314,4.316541359,3.643288553,3.711319488
PPP6R2,ENSG00000100239,41.9951889,38.81165035,40.78323547,34.79771283,30.73587913,34.45591357,33.53665409,33.51136783,31.49760807,32.65475691,30.78964188,25.88989994,42.53046338,41.5437134,35.53629169,35.01327748,32.8604509,34.4373407,35.86285671,35.3906168,43.6741576,31.7970858,30.5820831,27.10555293,41.59594575,41.05874284,38.80530921,32.18047631,34.35498227,30.22644239,39.27601596,40.81711623,38.62099545,30.35824315,29.74972927,29.46676452
SBF1,ENSG00000100241,44.51766172,45.6194987,48.19416875,44.63730378,39.32932333,42.95773829,49.60567633,48.45047574,49.09035921,39.96533346,40.8187626,32.18707112,48.91860828,48.77015475,40.28383296,36.01220227,42.6142993,43.95047115,45.7695985,44.90798664,65.87256305,40.77722583,41.11299472,40.19181535,51.37505312,56.74453811,61.82071618,48.33523416,43.89025104,45.62469555,57.09142738,56.6474908,58.39539056,45.34419976,41.47515216,45.3117526
ADM2,ENSG00000128165,6.956075682,8.159447313,9.696779824,13.36870452,12.62053865,11.11382502,5.479795235,6.595979123,7.134903625,5.59590674,6.223562067,5.802335409,3.858737883,3.478681514,2.804430645,4.316610818,3.96335477,3.793580984,4.493902297,3.57880633,6.911446073,6.390571054,7.028937229,6.5621113,2.861353899,2.824595034,3.442116052,33.4410814,33.2104587,33.89048599,1.009858575,1.316482026,1.352914452,19.54900275,18.9817391,18.23179672
MIOX,ENSG00000100253,0.304801788,0,0,0,0,0,0,0,0.549637216,0.329962936,0.619266372,0.192450945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11970429,0.176381321,0.18930032
LMF2,ENSG00000100258,212.2852261,201.5266498,213.0150877,242.2107364,209.3187838,227.5525234,243.1757184,235.5360964,232.5954689,220.8469774,212.7775822,186.1148675,200.1702021,189.0624207,167.0583755,178.0186904,212.3750818,207.5261398,171.1356007,189.0380502,251.9998702,167.4059111,162.2607288,154.7121139,150.3110446,149.2848048,169.3060801,172.6651678,156.2915616,160.7555786,145.2155998,142.9051016,156.3908899,128.5277208,124.6777514,122.7647211
NCAPH2,ENSG00000025770,12.84011715,13.19700771,13.91253727,11.77540533,12.59888461,10.90060332,37.57147722,33.57419567,36.18616431,30.68646843,33.45255459,30.83398618,27.03716852,27.35475513,21.49789913,20.67877416,23.63420572,25.92498667,35.06647616,37.19462196,44.05727869,29.47768514,30.02390716,31.37594674,27.54453085,29.6109055,30.49413256,18.03081686,15.96986641,16.95220876,43.14311688,49.29274449,53.54919328,29.59473001,28.01573802,31.02642433
SCO2,ENSG00000284194,43.405452,38.95387659,47.84304446,25.00603815,29.33678278,33.52315543,29.78274662,36.67115792,40.7439979,31.54025147,31.6775003,23.27639131,29.45259985,34.76009227,32.41972819,24.17901526,29.62522444,24.71868305,25.97516384,38.79684621,46.12695723,23.9536711,24.59001851,22.74986069,53.91183034,45.49408832,46.8726362,33.43849983,27.15426298,28.44712888,23.29851436,29.07466812,33.36702991,18.52547404,18.58019481,21.6644004
TYMP,ENSG00000025708,35.9524418,32.36160372,40.4973361,27.47170237,29.79769653,31.32706996,29.99611937,24.92025618,28.45833341,28.66967686,29.65873079,22.23318147,26.68641606,26.82455872,20.95002331,13.93906966,20.40170909,22.07361538,41.38485907,44.45954206,52.84295333,40.18988247,40.45837927,38.03364239,44.37208899,46.14394085,50.18272442,40.83088012,39.23282007,38.75460005,49.16592,49.17277802,56.82722498,59.84826263,51.54110082,57.70528626
